Wed May 06 18:10:01 +0000 2020,"🏥Delhi Health Bulletin - 6th May 2020 🏥

#DelhiFightsCorona https://t.co/KuImcBDjNh",cmodelhi
Wed May 06 16:07:54 +0000 2020,https://t.co/vWOaqEJ1st,dc_dhanbad
Wed May 06 15:06:32 +0000 2020,https://t.co/jCOxcexRMp,ladags
Wed May 06 14:50:44 +0000 2020,"Media bulletin
Date: May 6, 2020 

Status of positive cases of #COVID19 and also a list of districts with zero acti… https://t.co/uynC0ZlGzn",telanganahealth
Wed May 06 14:46:40 +0000 2020,"RT @DvCom_Secretary: 25 ppl from Gaya, Bihar to commence journey tomorrow morning, undergoing registration and medical screening.

@lg_lada…",ladags
Wed May 06 14:32:30 +0000 2020,#UPDATE: 771 new COVID19 positive cases reported in Tamil Nadu bringing the total count to 4829 @CMOTamilNadu… https://t.co/OH3BNOz398,nhm_tn
Wed May 06 13:28:18 +0000 2020,"#COVID19 Update | May 6

No new cases.
7 recoveries. 
8 districts (of a total 14) now have no active cases.

👥14,67… https://t.co/5rHPHjNnbm",vijayanpinarayi
Wed May 06 12:25:34 +0000 2020,"RT @javedLadakh: @ladags @justcsachin Finally our family members reached home today. Thank you #UTLADAKH
Hope by next batch, there would be…",ladags
Wed May 06 11:30:28 +0000 2020,चिकित्सा अथवा आवश्यक सेवा हेतु यात्रा करने हेतु आप सभी https://t.co/DjzpOhJCKH लिंक पर वाहन पास के लिए आवेदन दे सक… https://t.co/dS3WURDLA8,dc_dhanbad
Wed May 06 10:57:32 +0000 2020,अन्य राज्यों के व्यक्ति जो लॉकडाउन के कारण झारखंड में फंसे हुए हैं। वैसे व्यक्ति निम्नलिखित लिंक पर अपना पंजीयन करा… https://t.co/RDifj5TeBE,dc_dhanbad
Wed May 06 06:53:25 +0000 2020,"Containment Zone:- Shreenathji  Park (Building A, B,C and D)Kakad Faliya, Dadra https://t.co/WXnucNHPxI",collectordnh
Wed May 06 06:03:52 +0000 2020,RT @vrsrini: @VincentRK @nramind @nambath @ramyakannan The early aggressive testing clearly made a difference too. Please see this comparat…,wilson_thehindu
Wed May 06 05:49:48 +0000 2020,"RT @vinuthewriter: A long thread on the relationship between testing &amp; +ve cases, India's testing strategy &amp; its initial response to the #C…",wilson_thehindu
Wed May 06 05:49:46 +0000 2020,"RT @DvCom_Secretary: 4th batch of Iran returnees with 90 passengers flown in from Jodhpur. Flight arrived 8:15 AM 

Making special exceptio…",ladags
Wed May 06 03:58:34 +0000 2020,"RT @DvCom_Secretary: Glad to announce departure of 40 students from NIT, Srinagar and 7 from Kashmir Univ. towards Kargil &amp; Leh. Movement w…",ladags
Wed May 06 03:56:44 +0000 2020,"RT @Eatala_Rajender: Status of #COVID19 in Telangana. 
(Dated : 05.05.2020)

Today Positive cases : 11
Today Discharged cases : 43",telanganahealth
Wed Apr 29 19:28:37 +0000 2020,"#GujaratFightsCovid19 effectively and efficiently!

14 #COVID19 Patients discharged from SVP Hospital, Ahmedabad to… https://t.co/zeP3Vcwv3f",mohfw_gujarat
Wed Apr 29 15:44:13 +0000 2020,"Mornings at #COVID19 hospital in Medicity campus, #Ahmedabad begin with Pranayam, Yoga and healthy breakfast served… https://t.co/BSbDC6qyZS",mohfw_gujarat
Wed Apr 29 14:44:10 +0000 2020,Penalty charges https://t.co/pM5jeLVWpQ,collectordnh
Wed Apr 22 17:15:59 +0000 2020,RT @Nitinbhai_Patel: https://t.co/1LqCVSz5mU,mohfw_gujarat
Wed Apr 22 17:15:26 +0000 2020,RT @vijayrupanibjp: प्रधानमंत्री श्री @narendramodi जी के नेतृत्व में कैबिनेट द्वारा #COVID19 के योद्धाओं की सुरक्षा हेतु लाए गए अध्यादेश…,mohfw_gujarat
Tue May 05 16:24:45 +0000 2020,"That's generous. Thank you🙏

I have always said, there are thousands of #CoronaWarriors &amp; all islanders who are giv… https://t.co/IPfdQgU791",chetansanghi
Tue May 05 16:18:13 +0000 2020,RT @TelanganaCMO: Watch Live: Honourable CM Sri KCR addressing the media after state cabinet meeting. #Coronavirus #IndiaFightsCorona https…,telanganahealth
Tue May 05 15:06:00 +0000 2020,#UPDATE: 508 new COVID19 positive cases reported in Tamil Nadu bringing the total count to 4058 @CMOTamilNadu… https://t.co/UISg32jbLH,nhm_tn
Tue May 05 13:12:02 +0000 2020,"Beautiful dusk while ....
#AndamanFightsCOVID19 https://t.co/RRCcug5tXZ",chetansanghi
Tue May 05 11:50:00 +0000 2020,"05/05/2020:- Message of Collector,Dadra &amp; Nagar Haveli to Citizens
#StayAtHome #StayVigilant #StaySafe… https://t.co/9AilfIlwAs",collectordnh
Tue Apr 28 10:17:22 +0000 2020,"#GujaratFightsCovid19 1200-bed designated COVID hospital at Civil campus, Ahmedabad generates daily 800 kg solid wa… https://t.co/HzZPvz8Kve",mohfw_gujarat
Thu May 07 17:04:46 +0000 2020,"🏥Delhi Health Bulletin - 7th May 2020 🏥

#DelhiFightsCorona https://t.co/ufDTsb7Ncy",cmodelhi
Thu May 07 16:29:34 +0000 2020,"Corona probably may not kill. 
It is the probability that kills.

#staysafe 
#AndamanFightsCOVID19",chetansanghi
Thu May 07 15:55:13 +0000 2020,"Media bulletin
Date: May 7, 2020 

Status of positive cases of #COVID19 and also a list of districts with zero acti… https://t.co/CY9UL9KxfM",telanganahealth
Thu May 07 15:42:19 +0000 2020,No need to panic with new spike of #Covid +ive cases in #BapuDham #ContainmentZone as it is the result of an extens… https://t.co/KmWUq9WayH,vpsbadnore
Thu May 07 13:25:17 +0000 2020,"Coimbatore sees no new case of #COVID19 for 4th consecutive day. 
+Ve cases reported - 146
Recovered - 141
Active c… https://t.co/BEjSjL9TLm",wilson_thehindu
Thu May 07 12:59:40 +0000 2020,#UPDATE: 580 new COVID19 positive cases reported in Tamil Nadu bringing the total count to 5409 @CMOTamilNadu… https://t.co/jDMMOnSaFq,nhm_tn
Thu May 07 12:03:57 +0000 2020,"#COVID19 Update | May 7

No new cases and 5 recoveries today. 
Active cases down to 25. 

📍 Hotspots count is down… https://t.co/MdbQo1crdE",vijayanpinarayi
Thu May 07 11:57:47 +0000 2020,https://t.co/XH8a00eal3,nhm_tn
Thu May 07 11:10:52 +0000 2020,"ZERO +ves.  For the 2nd time. 
~11000 tests per million
💯 % recovery.

Health care workers &amp;  #COVIDWarriors 👏

Cha… https://t.co/b20MkxWrtI",chetansanghi
Thu May 07 10:56:56 +0000 2020,"We are living through one of the worst crises in human history. To overcome this adversity, the world has to come t… https://t.co/IQQDVIgPib",vijayanpinarayi
Thu May 07 09:19:19 +0000 2020,"Delhi salutes Ct Amit, the brave Delhi Police official who lost his life to Corona while serving the people of Delh… https://t.co/NvbCNdAH8D",cmodelhi
Thu May 07 08:19:46 +0000 2020,ఈ రోజు విశాఖపట్నం లో జరిగిన దురదృష్టపు సంఘటనకు తీవ్రంగా చింతిస్తున్నాను. చనిపోయిన మృతులకు వారి కుటుంబాలకి నా ప్రగాఢ… https://t.co/bnOke60jh2,vijayanpinarayi
Thu May 07 04:08:16 +0000 2020,'Chappal distancing' maintained infront of a #TASMAC outlet at Flower Marker in Coimbatore as buyers face the heat… https://t.co/AI8nMQ6qaO,wilson_thehindu
Thu May 07 00:00:17 +0000 2020,"सूरत से आज पुनः श्रमिक बंधुओं का सकुशल धनबाद जंक्शन पर आगमन हो गया है। स्टेशन में स्वास्थ्य जांच, हैंड सैनिटाइजर,… https://t.co/NTAh33VgmQ",dc_dhanbad
Thu Apr 30 12:54:50 +0000 2020,#UPDATE: 161 new COVID19 positive cases reported in Tamil Nadu bringing the total count to 2323 @CMOTamilNadu… https://t.co/mDoi2gf8bq,nhm_tn
Thu Apr 30 05:51:10 +0000 2020,"1 more +ve turns -ve. So, total active now 17.

Further, working on transferring stranded to their respective place… https://t.co/GEa9pVtBPL",chetansanghi
Sun May 10 23:28:41 +0000 2020,RT @DefencePRO_Guj: #NationalCadetCorps #Anand #4GujBn Day32 of #ExNCCYogdan in #Gujarat Cadets making periodic announcements at Amul Foodl…,pibahmedabad
Sun May 10 23:21:32 +0000 2020,""" Pre dawn chirps,
Star fills the space, 
between two twigs ""

#Ramzan #Sehri - Day 17 https://t.co/K4UPRT2Ipy",tabeenahanjum
Sun May 10 22:37:07 +0000 2020,Many countries are considering “immunity passports” as a way to allow people who have recovered from COVID-19 to wo… https://t.co/SsAlcCPEyA,huffpostindia
Sun May 10 20:55:37 +0000 2020,"A couple tied the knot wearing masks and face shields at a Gurudwara in Kanpur yesterday, in view of #COVID19 pande… https://t.co/vVjYtqYS4V",aninewsup
Sun May 10 19:54:57 +0000 2020,"A Corona positive Nurse complained about poor facilities in the quarantine centre. 

AAP govt resolved the issue as… https://t.co/NRsEXFpq0O",aamaadmiparty
